Filename,Science_Mean,Science_Std,Reference_Mean,Reference_Std,Diff_Mean,Diff_Std,SNR,Result
SN 2023dyl.fits,186.23334,20.839766,1824.8538,798.26904,1638.62,785.8558,4.633738, Moderate triplet
SN 2014es.fits,189.92548,111.80923,1806.0562,1021.6403,1639.1967,1060.49,8.484026, Good triplet
SN 2016X.fits,191.53781,97.11118,2566.2385,1228.766,2374.7102,1205.0284,1.3450733, Moderate triplet
SN 2018ikg.fits,192.73593,147.91672,1470.3136,923.3015,1261.6315,692.84955,7.668979, Good triplet
SN 2019cda.fits,194.78992,57.54223,2023.148,823.59174,1865.078,897.5059,0, Moderate triplet
SN 2019qpr.fits,190.37967,123.59975,2169.1792,812.3758,1978.7988,750.71216,14.399616, Good triplet
SN 2023esi.fits,205.9789,202.27914,2088.542,1507.6482,1856.1373,1234.9515,2.072543, Moderate triplet
SN 2018zf.fits,195.01408,136.01688,1713.8285,859.7843,1515.6522,740.9216,4.1309075, Moderate triplet
SN 2019ein.fits,210.78683,177.64848,4531.0215,3207.5605,4320.243,3141.4907,12.748485, Good triplet
SN 2017iji.fits,192.92717,72.63647,2310.8645,1524.2207,2117.9377,1478.9077,5.2183146, Good triplet
SN 2018afm.fits,195.06476,198.9621,2072.546,924.28735,1877.6797,846.09485,10.366618, Good triplet
SN 2021kwa.fits,186.91219,7.8590784,1706.0759,362.1068,1494.9115,269.34116,9.308753, Good triplet
SN 2021ums.fits,211.9052,291.37885,2464.3774,1930.6047,2234.695,1743.6666,2.319047, Moderate triplet
SDSS-II SN 16298.fits,187.53354,46.34023,2162.2878,535.7208,1974.7628,519.1953,2.8287826, Moderate triplet
SN 2019gfb.fits,190.43913,93.29987,2017.0573,677.74176,1826.661,638.24475,7.941275, Good triplet
